Source,Equation
Text-Based,"Abrg = net bearing area of the head of stud, anchor bolt, or "
Text-Based,"Acw = area of concrete section of an individual pier, hori-"
Text-Based,"sl = eඒective bearing area of shear lug, in2"
Text-Based,Ahs = total cross-sectional area of hooked or headed bars 
Text-Based,min = minimum  area  of  longitudinal  reinforcement  to 
Text-Based,ANa = projected inÝuence area of a single adhesive anchor 
Text-Based,ANao = projected  inÝuence  area  of  a  single  adhesive 
Text-Based,ANc = projected  concrete  failure  area  of  a  single  anchor 
Text-Based,"ANco   = projected concrete failure area of a single anchor, "
Text-Based,"N = eඒective cross-sectional area of anchor in tension, "
Text-Based,"V = eඒective  cross-sectional  area  of  anchor  in  shear, "
Text-Based,"min = minimum area of Ýexural reinforcement, in"
Text-Based,min = minimum  area  of  shear  reinforcement  within 
Text-Based,"AVco = projected concrete failure area of a single anchor, "
Text-Based,"bslab = eඒective slab width, in"
Text-Based,max = maximum distance from center of an anchor shaft 
Text-Based,min = minimum distance from center of an anchor shaft to 
Text-Based,"dagg = nominal maximum size of coarse aggregate, in"
Text-Based,dburst = distance from the anchorage device to the centroid 
Text-Based,eanc = eccentricity  of  the  anchorage  device  or  group  of 
Text-Based,"dpile = diameter of pile at footing base, in"
Text-Based,hanc = dimension of anchorage device or single group of 
Text-Based,"sl = eඒective embedment depth of shear lug, in"
Text-Based,hwcs = height  of  entire  structural  wall  above  the  critical 
Text-Based,K05 = coeඓcient associated with the 5 percent fractile
Text-Based,"M = moment acting on anchor or anchor group, in"
Text-Based,"Mcr = cracking moment, in"
Text-Based,Mcre = moment causing Ýexural cracking at section due to 
Text-Based,Mmax = maximum factored moment at section due to exter-
Text-Based,Mnb = nominal  Ýexural  strength  of  beam  including  slab 
Text-Based,Mnc = nominal  Ýexural  strength  of  column  framing  into 
Text-Based,"Mpr = probable  Ýexural  strength  of  members,  with  or "
Text-Based,"Msa = maximum  moment  in  wall  due  to  service  loads, "
Text-Based,Msc = factored slab moment that is resisted by the column 
Text-Based,Mua = moment at midheight of wall due to factored lateral 
Text-Based,M1ns = factored end moment on a compression member at 
Text-Based,M1s = factored  end  moment  on  compression  member  at 
Text-Based,"min = minimum value of M2, in"
Text-Based,M2ns = factored  end  moment  on  compression  member  at 
Text-Based,M2s = factored  end  moment  on  compression  member  at 
Text-Based,Nag = nominal  bond  strength  in  tension  of  a  group  of 
Text-Based,Nba = basic bond strength in tension of a single adhesive 
Text-Based,Ncbg = nominal concrete breakout strength in tension of a 
Text-Based,Ncpg = basic  concrete  pryout  strength  of  a  group  of 
Text-Based,Npn = nominal  pullout  strength  in  tension  of  a  single 
Text-Based,"Nsbg = side-face blowout strength of a group of anchors, lb"
Text-Based,Nua = factored  tensile  force  applied  to  anchor  or  indi-
Text-Based,"g = total factored tensile force applied to anchor group, "
Text-Based,"s = factored sustained tension load, lb"
Text-Based,i = factored  tensile  force  applied  to  most  highly 
Text-Based,max= maximum  restraint  force  that  can  be  transmitted 
Text-Based,Pa  = maximum  allowable  compressive  strength  of  a 
Text-Based,max = maximum nominal axial compressive strength of a 
Text-Based,"max= maximum nominal axial tensile strength of member, "
Text-Based,Tburst = tensile  force  in  general  zone  acting  ahead  of  the 
Text-Based,sl = nominal bearing strength of a shear lug in direction 
Text-Based,Vcbg = nominal  concrete  breakout  strength  in  shear  of  a 
Text-Based,sl = nominal  concrete  breakout  strength  in  shear  of 
Text-Based,Vcpg = nominal  concrete  pryout  strength  of  a  group  of 
Text-Based,Vcw = nominal shear strength provided by concrete where 
Text-Based,"g = total factored shear force applied to anchor group, "
Text-Based,i = factored shear force applied to most highly stressed 
Text-Based,max = maximum  eඒective  height  of  concrete  concentric 
Text-Based,"x = factored shear force at section in the x-direction, lb"
Text-Based,"y = factored shear force at section in the y-direction, lb"
Text-Based,x = shear strength in the x-direction
Text-Based,y = shear strength in the y-direction
Text-Based,cm = water-cementitious materials ratio
Text-Based,W = eඒect of wind load
Text-Based,sl = shear  lug  bearing  factor  used  to  modify  bearing 
Text-Based,N = breakout  cracking  factor  used  to  modify  tensile 
Text-Based,P = pullout  cracking  factor  used  to  modify  pullout 
Text-Based,V = breakout  cracking  factor  used  to  modify  shear 
Text-Based,N = breakout  splitting  factor  used  to  modify  tensile 
Text-Based,Na = bond splitting factor used to modify tensile strength 
Text-Based,N = breakout eccentricity factor used to modify tensile 
Text-Based,Na = breakout eccentricity factor used to modify tensile 
Text-Based,V = breakout  eccentricity  factor  used  to  modify  shear 
Text-Based,N = breakout edge eඒect factor used to modify tensile 
Text-Based,Na = breakout edge eඒect factor used to modify tensile 
Text-Based,V = breakout  edge  eඒect  factor  used  to  modify  shear 
Text-Based,V = breakout  thickness  factor  used  to  modify  shear 
Text-Based,"n = ¯, to 2"
Text-Based,"n = 40, and "
Text-Based,n = 10
Text-Based,"SDC = seismic design category as deÜned in code, standard, or resource document"
Text-Based,"SPC = seismic performance category as deÜned in code, standard, or resource document"
Text-Based,U = 1
Text-Based,U = 1
Text-Based,U = 1
Text-Based,U = 1
Text-Based,U = 1
Text-Based,U = 0
Text-Based,U = 0
Text-Based,I = 0
Text-Based,70  =  1
Text-Based,Mc = ŌM2
Text-Based,Cm = 1
Text-Based,min = Pu(0
Text-Based,M1 = M1ns + ŌsM1s
Text-Based,M2 = M2ns + ŌsM2s
Text-Based,y = 60 ksi
Text-Based,y = 80 ksi
Text-Based,d = 23
Text-Based,d = 1/5
Text-Based,strain = 0
Text-Based,"fy  =  60,000  psi"
Text-Based,Jc  =  property  of  assumed  critical  section  analogous  to 
Text-Based,h = slab thickness
Text-Based,Av = cross-sectional area of 
Text-Based,Av = cross-sectional
Text-Based,"fy  =  60,000  psi"
Text-Based,min = 0
Text-Based,k = 0
Text-Based,m = 0
Text-Based,k = 1
Text-Based,k = 0
Text-Based,k = 1
Text-Based,m = 1
Text-Based,eccentricity = h/6
Text-Based,k = 2
Text-Based,m = 1
Text-Based,Mu = Mua + PuÅu
Text-Based,Ma = Msa + PsÅs
Text-Based,Pa = 0
Text-Based,Pa = 0
Text-Based,Pa = 0
Text-Based,Pa = (0
Text-Based,Pa = 0
Text-Based,Mn = 0
Text-Based,v = VQ/Ib
Text-Based,width = lesser of
Text-Based,h = Joint depth in 
Text-Based,T = Transverse
Text-Based,L = Longitudinal
Text-Based,V = Vertical
Text-Based,P = Perimeter
Text-Based,Nn = An fy
Text-Based,Ah = 0
Text-Based,weld = db4
Text-Based,weld = db4
Text-Based,"Nsa = Ase,N futa"
Text-Based,75 = 1
Text-Based,ANc = (ca1 + 1
Text-Based,ANco = (2 x 1
Text-Based,ANc = (ca1 + s1 + 1
Text-Based,ANc = (ca1 + s1 + 1
Text-Based,"hef = (ca,max)/1"
Text-Based,hef = hƪef = 
Text-Based,hef = 5
Text-Based,ef = max (6/1
Text-Based,hef = 4 in
Text-Based,Nc = (6 + 4)(5 + 9 + [1
Text-Based,ANco = 9hef
Text-Based,Nb = kcȹa
Text-Based,kc = 24 for cast-in anchors and 17 for post-installed 
Text-Based,Nb = 16ȹa
Text-Based,N = 1
Text-Based,N = 0
Text-Based,N = 1)
Text-Based,N = 1
Text-Based,N  =  1
Text-Based,N = 1
Text-Based,Nkc  =  24  for  cast-in  anchors  and  17  for  post-installed 
Text-Based,N = 1
Text-Based,N = 
Text-Based,"Npn = ψc,PNp"
Text-Based,Np = 8Abrg fcƪ
Text-Based,Np = 0
Text-Based,Nsbg = 
Text-Based,ANao = (2cNa)2
Text-Based,cNa = 10da
Text-Based,ANao = (2cNa)2
Text-Based,ANa = (cNa + s1 + ca1)(cNa + s2 + ca2)
Text-Based,Nba = ȹaŏcrʩdahef
Text-Based,Na = 
Text-Based,Na = 1
Text-Based,Na = 0
Text-Based,Na = 1
Text-Based,Na = 
Text-Based,"Vsa = Ase,V futa"
Text-Based,Vsa = 0
Text-Based,AVco = 2(1
Text-Based,Avc = 2(1
Text-Based,Avc = [2(1
Text-Based,Avc = 1
Text-Based,Avc = 2(1
Text-Based,Avc = 2(1
Text-Based,Avc = 2(1
Text-Based,V  = 2V
Text-Based,ca1 = 12 in
Text-Based,2 = 5 in
Text-Based,s = 9 in
Text-Based,1 = 7 in
Text-Based,ha = 8 in
Text-Based,ca1 = 12 in
Text-Based,5 = (7)/1
Text-Based,5 = 4
Text-Based,5 = (8)/1
Text-Based,5 = 5
Text-Based,3 = 9/3 = 3 in
Text-Based,AVc = (5 + 9 + 7)(1
Text-Based,AVco = 4
Text-Based,2 = 128 in
Text-Based,V = 0
Text-Based,33 = 0
Text-Based,V  = 1
Text-Based,ca1 =(ha)/1
Text-Based,AVco = 4
Text-Based,Vb = 9ȹa
Text-Based,V = 1
Text-Based,V = 0
Text-Based,Vcp = kcpNcp
Text-Based,Vcpg = kcpNcpg
Text-Based,kcp = 1
Text-Based,kcp = 2
Text-Based,min = 1
Text-Based,sl = 1
Text-Based,sl = 1
Text-Based,U = 1
Text-Based,wu = (1
Text-Based,thickness = h
Text-Based,thickness = h
Text-Based,Vc  =  0 
Text-Based,hoops = 14 in
Text-Based,wu = (1
Text-Based,Vc = 0 when both (a) and (b) occur:
Text-Based,Ve = ΩvɃvVu ± 3Vu
Text-Based,i = Vu
Text-Based,Heff = 
Text-Based,v = 
Text-Based,"Ag = ƭbeb and Ach = bc1bc2, where "
Text-Based,Vn = 2Avd fysinŋ ± 10
Text-Based,Avd = total area of reinforcement in
Text-Based,Avd = total area of reinforcement in
Text-Based,Vn = Avf fyȺ
Text-Based,Ec = wc
Text-Based,"Ec = 57,000"
Text-Based,fr = 7
Text-Based,Asfs = AsEsōs
Text-Based,fs = As fy
Text-Based,t = ε
Text-Based,t = ε
Text-Based,a = Ȳ1c
Text-Based,Po = 0
Text-Based,Po = 0
Text-Based,max = fyAst + (fse + Åfp)Apt
Text-Based,Vn = Vc + Vs
Text-Based,Vi = Vu Î Vd
Text-Based,Mmax = Mu Î Md
Text-Based,Vs = Av fysinŋ
Text-Based,vn = vc
Text-Based,vn = vc + vs
Text-Based,q  =  ŏt
Text-Based,"Di = Vi/sinȶ, in the concrete"
Text-Based,"Ni = Vi(cotȶ), is required in the longitudinal reinforce-"
Text-Based,Aoh = dark shaded area
Text-Based,Vn = ȺAvf fy
Text-Based,Vn = Avf fy(Ⱥsinŋ + cosŋ)
Text-Based,Vn = 0)
Text-Based,ws = wt cosθ + bsinθ
Text-Based,wt = 2cb
Text-Based,s = 
Text-Based,Fns = fce Acs
Text-Based,Fns = fce Acs + Asƪfsƪ
Text-Based,fce = 0
Text-Based,Fnt = Ats fy + AtpÅfp
Text-Based,"max = Fnt/(fcebs), where fce is "
Text-Based,Fnn = fceAnz 
Text-Based,fce = 0
Text-Based,fs = 
Text-Based,"fs = 40,000 psi)"
Text-Based,db = 1
Text-Based,Ktr = 0 as a design simpliÜcation even if transverse 
Text-Based,d = distance from free end of strand
Text-Based,s = depth of general zone
Text-Based,dburst = 0
Text-Based,Tt = 1
Text-Based,Tt = 1
Text-Based,Tt = 1
Text-Based,B = 0
Text-Based,Vne = 1
Text-Based,fy = 280 MPa
Text-Based,fy = 420 MPa
Text-Based,fy = 550 MPa
Text-Based,fy = 690 MPa
Text-Based,fpu = 1725 MPa
Text-Based,fpu = 1860 MPa
Text-Based,min = Pu(15 + 0
Text-Based,fy = 2800 kgf/cm2
Text-Based,fy = 4200 kgf/cm2
Text-Based,fy = 5600 kgf/cm2
Text-Based,fy = 7000 kgf/cm2
Text-Based,"fpu = 17,600 kgf/cm2"
Text-Based,"fpu = 19,000 kgf/cm2"
Text-Based,"fy = 40,000 psi"
Text-Based,"fy = 60,000 psi"
Text-Based,"fy = 80,000 psi"
Text-Based,"fy = 100,000 psi"
Text-Based,"fpu = 250,000 psi"
Text-Based,"fpu = 270,000 psi"
Text-Based,min = Pu(1
Text-Based,min = Pu(0
Text-Based,fr = 0
Text-Based,fr = 1
Text-Based,h = 
Text-Based,h = 
Text-Based,h = 
Text-Based,h = 
Text-Based,h = 
Text-Based,h = 
Text-Based,fr = 5
Text-Based,Vn = (ŋcȹ
Text-Based,Vn = (ŋcȹ
Text-Based,Vn = (ŋcȹ
Text-Based,Vn = Acv(0
Text-Based,Vn = Acv(0
Text-Based,Vn = Acv(2ȹ
Text-Based,Mn = 1
Text-Based,Mn = 5ȹ
Text-Based,Mn = 0
Text-Based,Vn = 0
Text-Based,Vn = 0
Text-Based,Vn = 
Text-Based,Nb = 3
Text-Based,Nb = 5
Text-Based,Nb = 16ȹa
Text-Based,Nb = kcȹa
Text-Based,Nb = kcȹa
Text-Based,Nb = kcȹa
Text-Based,kc = 10 or 7
Text-Based,kc = 10 or 7
Text-Based,kc = 24 or 17
Text-Based,Nsb = 13ca1
Text-Based,Nsb = 42
Text-Based,Nsb = 160ca1
Text-Based,Vb = 3
Text-Based,Vb = 3
Text-Based,Vb = 9ȹa
Text-Based,Vn = Acv(ŋcȹ
Text-Based,Vn = Acv(ŋcȹ
Text-Based,Vn = Acv(ŋcȹ
Text-Based,Vn = 2Avd fysinŋ ± 0
Text-Based,Vn = 2Avd fysinŋ ± 2
Text-Based,Vn = 2Avd fysinŋ ± 10
Text-Based,Vn = Acv(0
Text-Based,Vn = Acv(0
Text-Based,Vn = Acv(2ȹ
Text-Based,Ec = wc
Text-Based,Ec = wc
Text-Based,Ec = 4700
Text-Based,fr = 0
Text-Based,"Ec = 15,100"
Text-Based,fr = 2ȹ
Text-Based,Ec = wc
Text-Based,"Ec = 57,000"
Text-Based,fr = 7
Text-Based,Vc = 0
Text-Based,Vc = 1
Text-Based,Vc = 5ȹ
Text-Based,Vci = 0
Text-Based,Vci = 0
Text-Based,Vci = 0
Text-Based,Vci = 0
Text-Based,Vci = 0
Text-Based,Mcre = 
Text-Based,Vci = 0
Text-Based,Vci = 0
Text-Based,Vci = 1
Text-Based,Vci = 2ȹ
Text-Based,Mcre = 
Text-Based,Mcre = 
Text-Based,Vcw = (0
Text-Based,Vcw = (0
Text-Based,Vcw = (3
Text-Based,Vs = 0
Text-Based,vc = 0
Text-Based,Vs = 0
Text-Based,vc = 1
Text-Based,Vs = 3
Text-Based,vc = 4ȹsȹ
Text-Based,vc = (0
Text-Based,vc = (0
Text-Based,vc = (3
Text-Based,vc = 0
Text-Based,vc = 0
Text-Based,Tth = 0
Text-Based,Tth = 0
Text-Based,Tth = 0
Text-Based,Tth = 0
Text-Based,Tth = ȹ
Text-Based,Tth = ȹ
Text-Based,Tth = ȹ
Text-Based,Tth = 0
Text-Based,Tth = 0
Text-Based,Tth = ȹ
Text-Based,Tth = 0
Text-Based,Tth = 0
Text-Based,Tcr = 0
Text-Based,Tcr = ȹ
Text-Based,Tcr = ȹ
Text-Based,Tcr = ȹ
Text-Based,Tth = ȹ
Text-Based,Tth = ȹ
Text-Based,Tcr = 4ȹ
Text-Based,Tcr = 4ȹ
Text-Based,Tcr = 4ȹ
Text-Based,s = 380
Text-Based,s = 300
Text-Based,s = 38
Text-Based,s = 30
Text-Based,s = 15
Text-Based,s = 12
Text-Based,ld = 
Text-Based,ld = 
Text-Based,ld = 
Text-Based,ld = 
Text-Based,ld = 
Text-Based,ld = 
Text-Based,fps = fse + 70
Text-Based,fps = fse + 700
Text-Based,"fps = fse + 10,000"
Text-Based,Vne = 1
Text-Based,Vne = 1
Text-Based,Vne = 1
Text-Based,"(s)

="
Text-Based,"(a)

="
Text-Based,(0.80Ig) =
Text-Based,(2 x 1.5hef) =
Text-Based,"(6/1.5, 9/3) ="
Text-Based,(5 + 9 + [1.5 x 4]) =
Text-Based,(1.5ca1) =
Text-Based,(1.5 x 5.33) =
Text-Based,"(18.13.5.10.5c)

="
Text-Based,"(8.7.7)
="
Text-Based,"(8.7.7)
="
Text-Based,"(22.5.6.3.1b)

="
Text-Based,"(24.2.3.9a)

="
Text-Based,"(b)

="
Text-Based,"(a)

="
Text-Based,"(c)

="
Text-Based,"(b)

="
Text-Based,"(c)

="
Text-Based,max= maximum  restraint  force  that  can  be  transmitted 
Text-Based,"max= maximum nominal axial tensile strength of member, "
equation_182_9.png,~~
equation_268_23.png,
equation_430_13.png,gt +
equation_505_3.png,>
equation_268_37.png,
equation_484_2.png,
equation_134_6.png,~~
equation_240_153.png,
equation_240_147.png,
equation_134_55.png,
equation_479_2.png,—_
equation_134_41.png,
equation_246_102.png,Ge ens i
equation_134_69.png,ae
equation_240_36.png,
equation_240_190.png,
